Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
03C,NYCHC 81.07(c),Eggs: cracked or dirty,FOOD PROTECTION,Eggs to be used found in an unacceptable condition in that <QUANTITY> <UNIT> <of/BYPASS> <TYPE OF EGG 28> eggs <WAS/WERE> observed <CONDITION 28> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 28>. NYCHC 81.07(c),"1-6 dirty/cracked eggs or liquid, frozen, or powdered eggs not pasteurized.  Example: 4 dirty and/or cracked eggs; or one container of unpasteurized liquid eggs. Score: 7","7-12 dirty/cracked eggs; or 2 containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 9 dirty and/or cracked eggs; or 2 containers of unpasteurized liquid eggs. Score: 8","13-24 dirty/cracked eggs; or three containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 16 dirty and/or cracked eggs; or 14 dirty and/or cracked eggs and 2 containers of  unpasteurized liquid eggs. Score: 9","25 or more dirty/cracked eggs; or four containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 25 or more dirty and/or cracked eggs; or 18 dirty and/or cracked eggs and one container of unpasteurized liquid eggs. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03C,NYCHC 81.07(c),"Eggs: unpasteurized liquid, frozen or dry eggs",FOOD PROTECTION,"Liquid, frozen or dry egg products to be used alone or as an ingredient not pasteurized in that <QUANTITY> <UNIT> <of/BYPASS> <TYPE OF EGG 211> eggs <WAS/WERE> observed <IN/AT/ON>  <LOCATION> <EQUIPMENT> and <WAS/WERE> unpasteurized. Said <TYPE OF EGG 211> eggs <WAS/WERE> <USAGE> the time of inspection.  Corrective action: <CORRECTIVE ACTION 28>. NYCHC 81.07(c)","1-6 dirty/cracked eggs or liquid, frozen, or powdered eggs not pasteurized.  Example: 4 dirty and/or cracked eggs; or one container of unpasteurized liquid eggs. Score: 7","7-12 dirty/cracked eggs; or 2 containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 9 dirty and/or cracked eggs; or 2 containers of unpasteurized liquid eggs. Score: 8","13-24 dirty/cracked eggs; or three containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 16 dirty and/or cracked eggs; or 14 dirty and/or cracked eggs and 2 containers of  unpasteurized liquid eggs. Score: 9","25 or more dirty/cracked eggs; or four containers of liquid, frozen, or powdered eggs not pasteurized.  Example: 25 or more dirty and/or cracked eggs; or 18 dirty and/or cracked eggs and one container of unpasteurized liquid eggs. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03D,NYCHC 81.07(b),"Food packages including canned food is swollen, leaking or rusted.",ADULTERATED,"Food package(s) <IS/ARE> swollen, leaking or rusted rendering it unsuitable for consumption in that <QUANTITY> <UNIT> packages(s)/can(s) <of/BYPASS> <ADJECTIVE> <FOOD> found <CONDITION 29> <STORAGE> <LOCATION> and <WAS/WERE> stored among intact/consumable food items. Corrective action: <CORRECTIVE ACTION 29>. NYCHC 81.07(b) ","1-6 cans of food products swollen, leaking or rusted, and not segregated from consumable food.  Example: one can of tomato paste swollen and one can of salmon rusted and stored on food storage shelf. Score: 7","7-12 cans of food products swollen, leaking or rusted not segregated from consumable food.  Example: three cans of tomato paste swollen, and two cans of salmon and two cans of mushrooms rusted and stored on food storage shelf.  Score: 8","13-18 cans of food products swollen, leaking or rusted and not segregated from consumable food.  Example: 10 cans of tomato paste swollen, two cans of salmon and two cans of mushrooms rusted and stored on food storage shelf Score: 9","19 or more cans of food products swollen, leaking or rusted and not segregated from consumable food.  Example: 10 cans of tomato paste Swollen, two cans of salmon and two cans of mushrooms rusted, and 15 cans of baked beans leaking and stored on food storage shelf. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03E,NYCHC 81.04,Ice: potable/source,UNAPPROVED SOURCE,Ice not potable or from an approved source is that establishment was observed <KEYBOARD ENTRY>.  NYCHC 81.04,,,,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03E,NYCHC 81.20(a),Cross-connection,PLUMBING,Cross-connection in the potable water supply system observed in that <CONDITION 33> at <LOCATION>. Corrective action: <CORRECTIVE ACTION 33>. NYCHC 81.20(a) ,,,,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03E,NYCHC 81.20(a),Potable water: not provided,PLUMBING,Potable running water not provided in food service establishment for drinking and sanitary needs in that <CONDITION 31> <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 31>. NYCHC 81.20(a),,,,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03E,NYCHC 81.20(c),Carbon Dioxide gas lines unacceptable,PLUMBING,"Lines conducting carbon dioxide gas or carbonated beverages made of unacceptable material that will produce toxic substances when exposed to carbonic acid in that <QUANTITY> <CONDUCTIVE LINES> observed made of <MATERIAL>, located <LOCATION>. Corrective action: <CORRECTIVE ACTION 35>. NYCHC 81.20(c) ",,,,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03E,SSC 14-1.121,Water: container/source,UNAPPROVED SOURCE,Packaged or bottled water not potable in that <QUANTITY> <UNIT> of packaged/bottled water <IN/AT/ON>  <LOCATION> <EQUIPMENT> <WAS/WERE> <CONDITION 32>. Corrective action: <CORRECTIVE ACTION 32>. SSC 14-1.121 ,,,,Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03F,NYCHC 81.07(k),Unpasteurized milk and milk products,ADULTERATED,Unpasteurized milk being served in that <QUANTITY> <UNIT> of <MILK PRODUCT> <WAS/WERE> <CONDITION 134> and <WAS/WERE> being served to <KEYBOARD ENTRY> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 134>. NYCHC 81.07(k),,,,Unpasteurized milk or milk product present. Score: 10,Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
03G,NYCHC 81.07(a)(4),Fruits and vegetables not washed prior to serving,CONTAMINATION,Raw fruits and/or vegetables not thoroughly washed in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <CONDITION 58> <IN/AT/ON> <EQUIPMENT/BYPASS> <LOCATION>. NYCHC 81.07(a)(4) ,1 kind of raw food type not properly washed prior to serving. Example: 2 heads of lettuce. Score: 5,2 kind of raw food type not properly washed prior to serving. Example: 2 heads of lettuce. Score: 6,"3 kinds of raw food types not properly washed prior to serving. Example: 2 heads of lettuce, 1 bunch of carrots and 1 bunch of broccoli. Score: 7","4 or more kinds of raw food types not properly washed prior to serving. Example: 2 heads of lettuce, 1 bunch of carrots, 1 bunch of broccoli and 1 head of cabbage. Score: 8",
04A,NYCHC 81.15(a),FPC not held by supervisor,PERMIT/FPC,Food Protection Certificate not held by supervisor of food operations in that <CONDITION 3>. <OPTIONAL INPUT 3>.  Corrective action: Operator was instructed that at least one person who holds a Food Protection Certificate must be present during all hours of operation. NYCHC 81.15(a) ,,,,,FPC not held by the supervisor of food operations. Score: 10
04B,NYCHC 81.13(a),Preparing food with illness/injury,FOOD WORKERS,Food worker with <INJURY/ILLNESS> observed <ACTIVITY> <LOCATION>. Corrective action: <CORRECTIVE ACTION 36>. NYCHC 81.13(a) ,,,,Food worker prepares food or handles utensil when ill with a disease transmissible by food or has exposed infected cut or burn on hand. Score: 10,Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04C,NYCHC 81.07(j),Bare hand contact,FOOD WORKERS,"Food worker does not use proper utensils, gloves or other acceptable barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment in that <QUANTITY> <MALE/FEMALE> food worker(s) <WAS/WERE> observed using bare hand(s) while <PROCESS TYPE> <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <IN/AT/ON> <LOCATION>. Corrective action: <CORRECTIVE ACTION 37>. NYCHC 81.07(j) ",One food worker preparing ready-to-eat food with bare hands. Example: one food worker at front food preparation area preparing a sandwich. Score: 7,Two food workers  preparing ready-to-eat foods with bare hands. Example: one food worker at front food preparation area preparing a sandwich and one food worker in  kitchen preparing Caesar salad. Score: 8,"Three food workers  preparing ready-to-eat foods with bare hands. Example: one food worker at front food preparation area preparing a sandwich, one food worker in kitchen preparing Caesar salad and one food worker in basement preparing shrimp cocktail. Score: 9","Four or more food workers preparing ready-to-eat foods with bare hands. Example: two food workers at front food preparation area preparing sandwiches, one food worker in kitchen preparing Caesar salad and one food worker in  basement preparing shrimp cocktail. Score: 10",Failure to correct any condition of a PHH at the time of Inspection.  Score: 28
04D,NYCHC 81.13(d),"Observed ... without washing hands	",FOOD WORKERS,Food worker observed <ACT> without subsequently washing hands prior to <PUTTING ON SANITARYSINGLE SERVICE GLOVES BEFORE/BYPASS> <PROCESS TYPE> <FOOD> <LOCATION>. Corrective action: Food worker thoroughly washed hands upon instruction prior to returning to work <OPTIONAL INPUT 38>. NYCHC 81.13(d) ,,,,"Food worker does not wash hands after visiting the toilet, coughing, sneezing, smoking, preparing raw foods or otherwise contaminating hands. Score: 10",Failure to correct any condition of a PHH at the time of Inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04E,NYCHC 81.17(g),"Toxic chemical improperly labeled, stored or used",CONTAMINATION,"Toxic/hazardous chemical improperly stored, labeled or used so that contamination of food may occur in that <QUANTITY> <UNIT> <of/BYPASS> <KEYBOARD ENTRY> <TOXIC/HAZARDOUS CHEMICAL FAMILY> observed <METHOD OF MISLABELING/STORAGE/USE> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 39>. NYCHC 81.17(g)","One toxic chemical improperly labeled, stored or used so that contamination of food may occur. Example: roach spray. Score: 7","Two toxic chemicals improperly, labeled, stored, or used so that contamination of food may occur example: roach spray and bleach Score: 8","Three toxic chemicals improperly labeled, stored or used so that contamination of food may occur.  Example: roach spray, bleach and butane. Score: 9","Four or more toxic chemicals improperly labeled, stored, or used so that contamination of food may occur. Example: roach spray, bleach, butane and rat poison. Score: 10",Failure to correct any condition of a PHH at the time of Inspection.  Score: 28
04F,NYCHC 81.20(b),Sewage/liquid waste contaminating location,CONTAMINATION,"Food, food preparation area, food storage area or area(s) used by employees or patrons contaminated by sewage or liquid waste in that <KEYBOARD ENTRY> was observed contaminating <LOCATION>. Corrective action: <CORRECTIVE ACTION 40>. NYCHC 81.20(b) ",,,,"Food, food preparation area, food storage area or area used by employees or patrons contaminated by sewage or liquid waste. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04G,NYCHC 81.07(l),Re-service unprotected food,CONTAMINATION,Re-service of unprotected potentially hazardous food observed in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> noted being <ACTION> <LOCATION>. Corrective action: <CORRECTIVE ACTION 41>. NYCHC 81.07(l) ,,,,Unprotected potentially hazardous food re-served.  Example: bowl of cooked rice re-served. Score: 10,Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04H,NYCHC 81.06(b)(3),Food not discarded in accordance with HACCP plan,HACCP PLAN,Food not discarded in accordance with the approved HACCP plan that requires that the food <DISPOSITION> when the critical limit is not met for <HACCP CRITICAL LIMIT> in that <QUANTITY> <UNIT> <OF/BYPASS> <HACCP FOOD> <KEYBOARD ENTRY>.  <CORRECTIVE ACTION 178>.  NYCHC 81.06(b)(3),"One food item is spoiled, adulterated, contaminated or cross-contaminated.  Example: lettuce contaminated by raw chicken or custard cream contaminated by mice droppings; or one package of ROP chicken not discarded in accordance with HACCP plan. Score: 7","Two food items or two batches of same food located in two areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce and cooked chicken contaminated by raw chicken; or adulterated sausage and fish; or ROP beef stew and ROP chicken fricassee not discarded in accordance with HACCP Plan. Score: 8","Three food items or three batches of the same food type located in three areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken and raw eggs contaminated by raw chicken; or lettuce, tomatoes and figs contaminated by non-potable water; or ROP beef stew, ROP chicken fricassee and ROP pork tenderloin not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, and a pan of chicken on the service counter cross-contaminated with raw beef drippings. Score: 9","Four or more food items or four or more batches of the same food type in different areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken, raw eggs and cooked rice contaminated by raw chicken; or ROP beef stew, ROP chicken fricassee, ROP pork tenderloin and meat sauce not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in an upper level walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, a pan of chicken on the service counter cross-contaminated with raw beef drippings and chicken contaminated by mice droppings in the basement walk-in refrigerator. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04H,NYCHC 81.07(a),Food in contact with toxic material,ADULTERATED,"Food contaminated by being in contact with utensils, containers, or pipes that are made from toxic material in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> in contact with <OBJECT> made from <TOXIC MATERIALS> <LOCATION>. Corrective action: <CORRECTIVE ACTION 42>. NYCHC 81.07(a) ","One food item is spoiled, adulterated, contaminated or cross-contaminated.  Example: lettuce contaminated by raw chicken or custard cream contaminated by mice droppings; or one package of ROP chicken not discarded in accordance with HACCP plan. Score: 7","Two food items or two batches of same food located in two areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce and cooked chicken contaminated by raw chicken; or adulterated sausage and fish; or ROP beef stew and ROP chicken fricassee not discarded in accordance with HACCP Plan. Score: 8","Three food items or three batches of the same food type located in three areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken and raw eggs contaminated by raw chicken; or lettuce, tomatoes and figs contaminated by non-potable water; or ROP beef stew, ROP chicken fricassee and ROP pork tenderloin not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, and a pan of chicken on the service counter cross-contaminated with raw beef drippings. Score: 9","Four or more food items or four or more batches of the same food type in different areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken, raw eggs and cooked rice contaminated by raw chicken; or ROP beef stew, ROP chicken fricassee, ROP pork tenderloin and meat sauce not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in an upper level walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, a pan of chicken on the service counter cross-contaminated with raw beef drippings and chicken contaminated by mice droppings in the basement walk-in refrigerator. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04H,NYCHC 81.07(a),Food: adulterated/contaminated,ADULTERATED,Food <found/BYPASS> contaminated in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> observed to be contaminated by <CONDITION 23> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 23>. NYCHC 81.07(a)   ,"One food item is spoiled, adulterated, contaminated or cross-contaminated.  Example: lettuce contaminated by raw chicken or custard cream contaminated by mice droppings; or one package of ROP chicken not discarded in accordance with HACCP plan. Score: 7","Two food items or two batches of same food located in two areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce and cooked chicken contaminated by raw chicken; or adulterated sausage and fish; or ROP beef stew and ROP chicken fricassee not discarded in accordance with HACCP Plan. Score: 8","Three food items or three batches of the same food type located in three areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken and raw eggs contaminated by raw chicken; or lettuce, tomatoes and figs contaminated by non-potable water; or ROP beef stew, ROP chicken fricassee and ROP pork tenderloin not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, and a pan of chicken on the service counter cross-contaminated with raw beef drippings. Score: 9","Four or more food items or four or more batches of the same food type in different areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken, raw eggs and cooked rice contaminated by raw chicken; or ROP beef stew, ROP chicken fricassee, ROP pork tenderloin and meat sauce not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in an upper level walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, a pan of chicken on the service counter cross-contaminated with raw beef drippings and chicken contaminated by mice droppings in the basement walk-in refrigerator. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04H,NYCHC 81.07(a)(2),Food: cross contaminated,ADULTERATED,Food is cross-contaminated in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> observed to be contaminated by <CONDITION 23> <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 23>. NYCHC 81.07(a)(2),"One food item is spoiled, adulterated, contaminated or cross-contaminated.  Example: lettuce contaminated by raw chicken or custard cream contaminated by mice droppings; or one package of ROP chicken not discarded in accordance with HACCP plan. Score: 7","Two food items or two batches of same food located in two areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce and cooked chicken contaminated by raw chicken; or adulterated sausage and fish; or ROP beef stew and ROP chicken fricassee not discarded in accordance with HACCP Plan. Score: 8","Three food items or three batches of the same food type located in three areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken and raw eggs contaminated by raw chicken; or lettuce, tomatoes and figs contaminated by non-potable water; or ROP beef stew, ROP chicken fricassee and ROP pork tenderloin not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, and a pan of chicken on the service counter cross-contaminated with raw beef drippings. Score: 9","Four or more food items or four or more batches of the same food type in different areas noted spoiled, adulterated, contaminated or cross-contaminated. Example: lettuce, cooked chicken, raw eggs and cooked rice contaminated by raw chicken; or ROP beef stew, ROP chicken fricassee, ROP pork tenderloin and meat sauce not discarded in accordance with HACCP Plan; or a tray of chicken contaminated with mice droppings in an upper level walk-in refrigerator, a basket of chicken under the deep fat fryer contaminated with dust and debris, a pan of chicken on the service counter cross-contaminated with raw beef drippings and chicken contaminated by mice droppings in the basement walk-in refrigerator. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
04I,"NYCHC 81.07(l)	",Re-service of unprotected food,CONTAMINATION,Re-service of unprotected food observed in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> noted being <ACTION> <LOCATION>. Corrective action: Food was rendered inedible and discarded by food worker. NYCHC 81.07(l) ,One unprotected food item re-served. Example: unwrapped crackers. Score: 5,Two unprotected foods items re-served. Example: unwrapped crackers and bread. Score: 6,"Three unprotected food items re-served. Example: unwrapped crackers, bread and pickles. Score: 7","Four or more unprotected food items re-served. Example: unwrapped crackers, bread, pickles and breadsticks. Score: 8",
04J,NYCHC 81.09(g),Food thermometer inadequate,TEMPERATURE REGULATING,"Thermometer for measuring the temperature of food <CONDITION 43> measure temperatures of potentially hazardous foods during cooking, cooling, reheating, hot holding and cold holding. <BYPASS/KEYBOARD ENTRY> Corrective action: <CORRECTIVE ACTION 43>. NYCHC 81.09(g) ",,,,Appropriate thermometer(s) or thermocouple not provided or used to measure the temperature of potentially hazardous foods. Score: 8,
04J,NYCHC 81.12(g)(1),Thermocouple not provided,REDUCE OXYGEN PACKAGE,Thermocouple used in <ROP PROCESS> cooking process was observed <CONDITION 171>. <OPTIONAL INPUT 171>.   <CORRECTIVE ACTION 171>   NYCHC 81.12(g)(1),,,,Appropriate thermometer(s) or thermocouple not provided or used to measure the temperature of potentially hazardous foods. Score: 8,
04K,NYCHC 81.23(a),RATS: food area,PEST CONTROL,Evidence of rat activity present in that <QUANTITY> <FRESH/BYPASS> <RAT EVIDENCE> observed <CONDITION 451> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 451>. NYCHC 81.23(a),Rats present in the facility's food or non-food areas. Example: 1-10 fresh rat droppings in one area. Score: 5,"Rats present in the facility's food or non-food areas, demonstrated by 11-30 fresh rat droppings in one area or 1-10 fresh or rat droppings in two areas. Example: 25 fresh rat droppings in the food preparation area; or 10 fresh rat droppings in dry food storage area and 10 fresh rat droppings in the basement, food preparation area, bathroom and garbage disposal area. Score: 6","Rats present in the facility’s food or non-food areas, demonstrated by 31-70 rat droppings one area; 11-30 fresh rat droppings in two areas; or 1-10 fresh rat droppings in three areas. Example: 55 fresh rat droppings in food preparation area; or 14 fresh rat droppings in dry food storage area and 16 in basement; or less than 10 fresh rat droppings in the basement, food preparation area and bathroom. Score: 7","Rats present in the facilities food or non-food areas, demonstrated by  1-2 live rats and/or 71-100 rat droppings in one area; 31-70 fresh rat droppings in two areas; 11-30 fresh rat droppings in three areas; or 1-10 fresh droppings in four areas.  Example: 80 fresh rat droppings in food preparation area; or 30 fresh rat droppings in dry food storage area and 16 in basement or less than 10 fresh rat droppings in basement, food prep. Score: 8","Three or more live rats and/or greater than 100 rat droppings; and/or other conditions conducive to infestation of rats, i.e. holes/openings, water, food, unused equipment/material.  Inspector must call office to discuss closing or other enforcement measures. Score: 28"
04L,NYCHC 81.23(a),MICE: food area ,PEST CONTROL,Evidence of mouse activity present in that <QUANTITY> <FRESH/BYPASS> <MOUSE EVIDENCE> observed <CONDITION 452> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 452>.NYCHC 81.23(a) ,Mice present in the facility’s food or non-food areas; 1-10 fresh mice droppings in one area. Example: 8 fresh mice droppings found in pantry. Score: 5,Mice present in the facility’s food or non-food areas. 11-30 fresh mice droppings in one area; or 1-10 in two areas.  Example: 25 fresh mice droppings in the food preparation area; or 10 fresh mice droppings in dry food storage area and 10 in the basement. Score: 6,"Mice present in the facility’s food or non-food areas. 31-70 mice droppings in one areas, 11-30 in two areas; or 1-10 in three areas. Example: 55 fresh mice droppings in food preparation area; 14 fresh mice droppings in dry food storage area and 16 in basement; or fewer than 10 fresh mice droppings in the basement, food preparation area and bathroom. Score: 7","Mice present in the facility’s food or non-food areas; 1-2 live mice and/or 71-100 mice droppings in one area; 31-70 in two areas, 11-30 in three areas; or 1-10 in four areas. Example: 80 fresh mice droppings in food preparation area; 30 fresh mice droppings in dry food storage area and 16 in basement; or fewer than 10 fresh mice droppings in basement, food preparation area, bathroom and garbage disposal area. Score: 8","Two or more live mice and/or greater than 100 fresh mice droppings; and/or other conditions exist conducive to infestation of mice.  Example: holes/openings, water, food, unused equipment/material.  Inspector must call office to discuss closing or other enforcement measures. Score: 28"
04M,NYCHC 81.23(a),ROACHES: food area ,PEST CONTROL,Live roaches present in that <QUANTITY> live <ROACH/ROACHES> <WAS/WERE> observed <CONDITION 453> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 453>.NYCHC 81.23(a) ,Roaches present in the facility’s food and non-food areas. 1-5 roaches in one area. Score: 5,Roaches present in the facility’s food and non-food areas. 6-10 roaches in one area; or 1-5 in two areas. Example: 7 live roaches in the food preparation area; or 2 roaches in the dry food storage area and 1 in the basement. Score: 6,"Roaches present in the facility’s food and non-food areas; 11-15 roaches in one area; 6-10 in two areas; or 1-5 in three areas. Example: 12 live roaches in the food preparation area; 4 roaches in the dry food storage area and 5 roaches in the basement; or 1 live roach observed in walk-in, food preparation area and dry storage. Score: 7","Roaches present in the facility’s food and non-food areas; 16-20 roaches in one area, 11-15 in two areas; 6-10 in three areas; or 1-5 in four areas. Example: 17 live roaches in the food preparation area; 10 roaches in the dry food storage area and 5 roaches in the basement; or 1 live roach observed in walk-in, food preparation area, garbage area and dry storage area. Score: 8","Greater than 20 live roaches and/or other conditions exist conducive to infestation of roaches. Example: 45 live roaches and condition conducive to infestation such as holes/openings, water, food, unused equipment/material. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
04N,NYCHC 81.23(a),Flying Insects: food area ,PEST CONTROL,Filth Flies present in that <QUANTITY> <TYPE OF FLY EVIDENCE> observed <CONDITION 454> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 454>. NYCHC 81.23(a) ,2-5 filth flies or FRSA flies in the food preparation or food storage area during November 1 through March 1. Example: 2 flies in dry non-food area in January. Score: 5,6-10 filth flies or FRSA flies in one area; or 2-5 filth flies in two areas. Example: 7 live flies in food preparation area; or 2 flies in the dry food storage area and 1 in basement. Score: 6,"11-15 filth flies or FRSA flies in one area; 6-10 in two areas; or 2-5 flies in three areas. Example: 12 live flies in food preparation area; 4 flies in the dry food storage area and 5 flies in basement; or 1 fly observed in walk-in refrigerator, food preparation area and dry storage area. Score: 7","16-20 filth flies or FRSA flies in one area; 11-15 in two areas; 6-10 filth flies in three areas; or 1-5 in four areas. Example: 17 filth flies in food preparation area; 10 filth flies in dry food storage area and 5 filth flies in basement; or 2 filth flies observed in walk-in refrigerator, food preparation area, garbage area and dry storage area. Score: 8","More than 30 filth flies, FRSA flies  and/or other conditions exist conducive to infestation of filth flies. Example: 40 flies in the basement garbage area; and other conditions exist conducive to filth fly infestation, i.e. openings to the outer air, water, food, decaying matter, and/or sewage. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
04O,NYCHC 81.25,Live animal: food establishment,PEST CONTROL,Evidence of live animal activity  other than fish in tank or service animal present in food establishment in that <QUANTITY> <COLOR> <TYPE OF ANIMAL EVIDENCE> observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 44>. NYCHC 81.25 ,Live animal in establishment. Score: 5,Two live animals in establishment. Score: 6,Three live animals in establishment. Score: 7,Four or more live animals in establishment. Score: 8,
05A,NYCHC 81.20(b),Improper sewage disposal,PLUMBING,"Sewage disposal system not provided, improperly constructed or not operating adequately in that <SEWAGE EVIDENCE> observed <KEYBOARD ENTRY> <LOCATION> <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 46>. NYCHC 81.20(b)",,,,"Sewage or liquid waste is not disposed of in an approved or sanitary manner; or sewage or liquid waste contaminating food, food storage area, food preparation area, or area frequented by consumers or employees or used as a storage, preparation or utility area. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures. Score: 28
05B,NYCHC 81.19(c),Harmful gas or vapor detected,"LIGHT, HEAT & VENTILATION",Premises not free from harmful vapor or noxious gas that may endanger the life or health of employees and other persons in that <CONDITION 135> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 135>.  NYCHC 81.19(c ) ,,,,"Harmful, noxious gas or vapor detected. CO equal to or greater than 13ppm. Score: 10",Failure to correct any condition of a PHH at the time of inspection. Inspector must call office to discuss closing or other enforcement measures Score: 28
